"Other Crops: Volume of Production, by Region and by Province, by Quarter and Semester, 2020-2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Crop,Geolocation,2020 Semester1,2020 Semester2,2020 Annual,2021 Semester1,2021 Semester2,2021 Annual,2022 Semester1,2022 Semester2,2022 Annual,2023 Semester1,2023 Semester2,2023 Annual,2024 Semester1,2024 Semester2,2024 Annual
Abaca (dried raw fiber),..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaca (dried raw fiber),..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaca (dried raw fiber),..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaca (dried raw fiber),..REGION III (CENTRAL LUZON),17.53,17.38,34.91,25.58,17.06,42.64,24.18,15.03,39.21,17.21,5.66,22.87,15.73,1.83,17.56
Abaca (dried raw fiber),..REGION IV-A (CALABARZON),2.79,2.15,4.94,2.6,3.96,6.56,2.61,4.67,7.28,4.37,7.67,12.04,4.83,2.29,7.12
Abaca (dried raw fiber),..MIMAROPA REGION,39.63,62.16,101.79,40.3,67.14,107.44,38.03,78.48,116.51,43.18,77.3,120.48,45.43,60.54,105.97
Abaca (dried raw fiber),..REGION V (BICOL REGION),12894.91,15193.88,28088.79,9452.32,7386.26,16838.58,12066.02,12146.08,24212.1,12676.79,11525.28,24202.07,10280,12104.31,22384.3
Abaca (dried raw fiber),..REGION VI (WESTERN VISAYAS),1104.97,1518.93,2623.9,1540.77,1964.41,3505.18,1554.65,1982.24,3536.89,1111.15,1130.14,2241.29,1119.55,1012.27,2131.82
Abaca (dried raw fiber),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,52.93,102.93,155.86
Abaca (dried raw fiber),..REGION VII (CENTRAL VISAYAS),125.9,102.45,228.35,112.01,136.1,248.11,79.37,104.2,183.57,61.78,109.61,171.39,3.31,2.93,6.24
Abaca (dried raw fiber),..REGION VIII (EASTERN VISAYAS),5818.81,6317.58,12136.39,5783.55,6384.11,12167.66,4496.06,5912.29,10408.35,4700.94,6127.09,10828.03,4680.19,6022.89,10703.08
Abaca (dried raw fiber),..REGION IX (ZAMBOANGA PENINSULA),362.84,398.12,760.96,384.9,402.79,787.69,420.61,400.88,821.49,402.53,411.57,814.1,345.5,408.03,753.52
Abaca (dried raw fiber),..REGION X (NORTHERN MINDANAO),1877.1,1919.19,3796.29,2207.29,2514.79,4722.08,2356.03,2437.01,4793.04,2612.26,2733.98,5346.24,2861.84,2847.09,5708.93
Abaca (dried raw fiber),..REGION XI (DAVAO REGION),3882.41,4988.43,8870.83,4174.81,5103.34,9278.15,4193.97,5230.88,9424.84,4097.31,5418.36,9515.67,3950.92,5244.74,9195.65
Abaca (dried raw fiber),..REGION XII (SOCCSKSARGEN),527.83,661.9,1189.74,526.05,725.73,1251.78,513.39,710.36,1223.74,518.43,653.24,1171.67,511.16,608.15,1119.31
Abaca (dried raw fiber),..REGION XIII (CARAGA),3985.19,4269.3,8254.49,4098.5,4459.7,8558.2,4157.03,4007.02,8164.05,3800.43,4228.21,8028.64,3773.76,4134.61,7908.38
Abaca (dried raw fiber),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,2605.13,2255.94,4861.07,2625.57,2264.41,4889.98,2625.5,2265.59,4891.09,2616.22,2010.49,4626.71,2597.04,1941.87,4538.91
Coconut (w/ husk),..CORDILLERA ADMINISTRATIVE REGION (CAR),596.64,427.49,1024.13,609.32,455.32,1064.64,644.64,488.94,1133.58,624.66,523.64,1148.3,599.79,543.53,1143.32
Coconut (w/ husk),..REGION I (ILOCOS REGION),18399.73,25612.7,44012.42,18924.42,25404.5,44328.92,19793.26,27433.65,47226.9,19465.88,28993.97,48459.85,20113.34,29137.2,49250.54
