id,category,source,text
1,soil_ph,SoilGrids,"Ang tamang asim ng lupa para sa palay ay 5.5 hanggang 6.5. Kapag mas mataas sa 7.0, bababa ang ani dahil kulang ang sustansya tulad ng iron at phosphorus. Maglagay ng 200-300 kilo ng sulfur bawat ektarya o magdagdag ng pataba mula sa hayop para babain ang alkaline ng lupa."
2,soil_ph,International Rice Research Institute,"Kapag masyadong asim ang lupa (pH mas mababa sa 5.0), nagiging lason ang aluminum sa palay. Dahil dito, hindi lumaki nang maayos ang ugat at kaunti lang ang sanga ng palay. Maglagay ng 2-4 tonelada ng lime bawat ektarya para maging tamang asim ang lupa at mawala ang lason ng aluminum."
3,soil_ph,Philippine Rice Research Institute,"Ang mais ay tumutubo nang maayos sa lupang may asim na 6.0-7.0. Kapag mas mababa sa 5.5, hindi maayos ang pagsisimula ng mais at madaling magkasakit dahil sa kulang na sustansya."
4,soil_ph,Food and Agriculture Organization,"Ang kape ay gusto ng maasiim na lupa na may pH 5.0-6.5. Ang Arabica coffee ay mas sensitive sa pagbabago ng asim kaysa sa Robusta, kailangan ng tuloy-tuloy na asim para sa masarap na lasa at maraming ani."
5,soil_ph,World Agroforestry Centre,"Ang cacao ay tumutubo nang pinakamabuti sa lupang may pH 6.0-7.0. Kapag masyadong asim (mas mababa sa 5.5), kulang ang calcium at magnesium, kaya hindi maayos ang paglaki ng bunga at madaling magkasakit ng black pod."
6,crop_temperature,Philippine Statistics Authority,"Ang Robusta coffee ay tumutubo nang pinakamabuti sa temperatura na 24-30°C na hindi masyadong nagbabago. Kapag sobrang init o lamig (higit sa 10°C pagkakaiba), na-stress ang halaman at bumababa ang kalidad ng kape."
7,crop_temperature,International Coffee Organization,"Ang Arabica coffee ay kailangan ng mas malamig na temperatura na 18-24°C at napakasensitive sa init. Kapag mas mainit sa 25°C habang namumulaklak, bababa ng hanggang 40% ang bunga."
8,crop_temperature,Philippine Coconut Authority,"Ang niyog ay tumutubo nang maayos sa temperatura na 27-32°C buong taon. Kapag matagal sa temperatura na mas mababa sa 20°C, bababa ang ani ng niyog at madaling magkasakit ng lethal yellowing."
9,crop_temperature,Bureau of Plant Industry,"Ang palay ay tumutubo nang pinakamabuti sa 25-30°C habang lumalaki at 20-25°C habang nag-aani. Kapag mainit sa gabi (higit sa 22°C), hindi maayos ang pagkakapuno ng butil at maraming walang laman."
10,crop_temperature,Philippine Sugar Research Foundation,"Ang tubo ay kailangan ng temperatura na 26-32°C para sa pinakamabuting paggawa ng asukal. Kapag malamig (mas mababa sa 20°C), bagal ang paglaki at bababa ang tamis ng tubo."
11,rainfall_irrigation,OpenWeatherAPI,"Ang palay ay kailangan ng 1000-1500mm na ulan bawat taon o katumbas na patubig. Kapag kulang ang tubig habang nagsisimula ang butil, bababa ng 20-60% ang dami ng butil sa bawat tangkay."
12,rainfall_irrigation,International Rice Research Institute,"Ang paminsan-minsang patubig sa palay ay nakakatipid ng 15-30% na tubig habang pareho pa rin ang ani. Huwag hayaang matuyo ang lupa nang higit sa 15cm para hindi bumaba ang ani."
13,rainfall_irrigation,Philippine Atmospheric Geophysical and Astronomical Services,"Ang mais ay kailangan ng 500-800mm na tubig habang tumutubo, lalo na habang namumulaklak at nagiging butil. Kapag kulang ang tubig sa panahong ito, bababa ng 25-50% ang ani."
14,rainfall_irrigation,Food and Agriculture Organization,"Ang kape ay kailangan ng 1200-2000mm na ulan bawat taon na pantay ang pagkakakalat. Kapag tuyo nang mahigit 3 buwan walang patubig, nalalaglag ang dahon at bababa ang bulaklak sa susunod na taon."
15,rainfall_irrigation,World Coffee Research,"Ang mga uri ng kape na kaya ang tagtuyot tulad ng Robusta ay mabubuhay sa 800-1200mm na ulan bawat taon, habang ang Arabica ay kailangan ng higit sa 1200mm para sa de-kalidad na kape."
16,ndvi_vegetation,Sentinel Hub,"Ang NDVI na 0.70-0.85 ay nagpapakita ng malusog at siksik na halaman na may sapat na chlorophyll at biomass. Ang mga numerong ito ay nagpapakita ng mayamang lupa at sapat na tubig."
17,ndvi_vegetation,European Space Agency,"Ang NDVI na mas mababa sa 0.50 ay nagpapakita ng stress ng halaman dahil sa tagtuyot, kulang na sustansya, o sakit. Kapag mas mababa sa 0.30, malubha na ang kalagayan at kailangan ng agarang aksyon."
18,ndvi_vegetation,Philippine Space Agency,"Ang pagsubaybay sa NDVI ay nagpapakita ng mga yugto ng pananim. Ang palay ay may pinakamataas na NDVI na 0.8-0.9 habang maraming sanga, bumababa sa 0.4-0.6 habang tumatanda at inaani."
19,ndvi_vegetation,International Center for Tropical Agriculture,"Ang pagsubaybay sa NDVI sa mga tropikal na pananim ay nagpapakita ng pagbabago ayon sa panahon. Ang mga taong-taong pananim tulad ng kape ay may NDVI na 0.6-0.8 buong taon, habang ang mga taunang pananim ay may iba-ibang yugto ng paglaki."
20,soil_fertility,SoilGrids,"Ang laman ng organic carbon sa lupa na higit sa 2% ay nagpapakita ng mayamang lupa. Ang organic carbon ay tumutulong sa pag-imbak ng tubig, pag-ikot ng sustansya, at aktibidad ng mga mikrobyo na kailangan ng pananim."
21,soil_fertility,International Soil Reference and Information Centre,"Ang cation exchange capacity na higit sa 15 cmol/kg ay nagpapakita ng magandang kakayahan ng lupa na mag-imbak ng sustansya. Ang mabuhanging lupa na may mababang CEC ay kailangan ng madalas na pataba para sa sapat na sustansya ng pananim."
22,soil_fertility,Philippine Bureau of Soils and Water Management,"Ang nitrogen ay pinakamataas 2-3 linggo pagkatapos maglagay ng organic matter. Ang paghati-hating paglalagay ng nitrogen fertilizer ay tumutugma sa pangangailangan ng pananim at binabawasan ang pagkawala sa tubig."
23,soil_fertility,International Fertilizer Association,"Ang kakulangan ng phosphorus sa tropikal na lupa ay humahadlang sa paglaki ng ugat at pagbubulaklak. Ang rock phosphate ay nagbibigay ng unti-unting phosphorus para sa mga taong-taong pananim tulad ng kape at cacao."
24,pest_management,International Rice Research Institute,"Ang integrated pest management sa palay ay pinagsasama ang mga uri na lumalaban sa peste, biological control, at tamang gamit ng pestisidyo. Ang pamamaraang ito ay binabawasan ng 50-70% ang pestisidyo habang pareho pa rin ang ani."
25,pest_management,Philippine Rice Research Institute,"Ang pagdami ng brown planthopper ay nangyayari kapag sobrang nitrogen at tuloy-tuloy na baha. Ang tamang pataba at tubig ay natural na binabawasan ang peste."
26,pest_management,World Coffee Research,"Ang pagkontrol sa coffee berry borer ay kailangan ng pinagsama-samang pamamaraan: tamang pag-aalaga, biological agents tulad ng Beauveria bassiana, at selective insecticides sa mahalagang panahon."
27,pest_management,International Center for Tropical Agriculture,"Ang push-pull technology na gumagamit ng kasamang halaman tulad ng Desmodium at Napier grass ay binabawasan ng 65% ang pinsala ng stem borer sa mais habang pinapabuti ang lupa."
28,disease_management,International Rice Research Institute,"Ang rice blast disease ay lumalala kapag sobrang nitrogen, tuloy-tuloy na baha, at siksik na tanim. Ang mga uri na lumalaban sa sakit at tamang sustansya ay malaking binabawasan ang sakit."
29,disease_management,Philippine Coconut Authority,"Ang cadang-cadang disease sa niyog ay kumakalat sa pamamagitan ng ugat at maraming kasangkapan. Ang paglilinis at pag-alis ng may sakit na niyog sa loob ng 50m ay pumipigil sa pagkalat."
30,disease_management,World Coffee Research,"Ang coffee leaf rust ay lumalago sa temperatura na 21-25°C na mataas ang halumigmig. Ang copper-based fungicides na ginagamit bago pa magkasakit sa tag-ulan ay epektibong pumipigil sa sakit."
31,crop_rotation,Food and Agriculture Organization,"Ang pag-ulit-ulit ng palay at legume ay pinapabuti ang nitrogen ng lupa sa pamamagitan ng biological fixation. Ang mungbean o cowpea pagkatapos ng palay ay nagdadagdag ng 30-60 kg N/ha para sa susunod na pananim."
32,crop_rotation,International Center for Tropical Agriculture,"Ang pag-ulit-ulit ng mais at soybean ay pumuputol sa siklo ng peste at pinapabuti ang istraktura ng lupa. Ang natira ng soybean ay nagkokontributo ng 40-80 kg N/ha sa susunod na mais."
33,crop_rotation,Philippine Rice Research Institute,"Ang tuloy-tuloy na pagtatanim ng palay ay nauubos ang organic matter ng lupa at dinadadami ang peste. Ang pag-ulit-ulit sa upland crops tuwing 2-3 season ay pinapanatili ang kalusugan ng lupa."
34,fertilizer_management,International Fertilizer Association,"Ang paghati ng nitrogen sa palay ay sumusunod sa 40-30-30 pattern: 40% sa paglilipat, 30% sa pagsasanga, 30% sa pagsisimula ng butil. Ito ay tumutugma sa pangangailangan ng pananim at binabawasan ang sayang."
35,fertilizer_management,Philippine Fertilizer and Pesticide Authority,"Ang paglalagay ng organic fertilizer 2-3 linggo bago magtanim ay nagbibigay-daan sa pagkabulok at paglabas ng sustansya na tumutugma sa pangangailangan ng pananim."
36,fertilizer_management,Food and Agriculture Organization,"Ang tumpak na paglalagay ng pataba batay sa pagsusulit ng lupa ay pinapataas ng 20-30% ang paggamit ng sustansya at binabawasan ang epekto sa kapaligiran."
37,water_management,International Water Management Institute,"Ang drip irrigation sa mga gulay ay binabawasan ng 30-50% ang tubig kumpara sa furrow irrigation habang pinapataas ang ani sa pamamagitan ng tumpak na pagbibigay ng tubig."
38,water_management,Philippine Rice Research Institute,"Ang System of Rice Intensification ay gumagamit ng 40-50% na mas kaunting tubig kaysa sa conventional flooding habang pinapanatili o pinapataas ang ani sa pamamagitan ng mas magandang ugat."
39,water_management,Food and Agriculture Organization,"Ang mulching ay binabawasan ng 50-70% ang pag-evaporate ng tubig sa lupa at pinapanatili ang temperatura ng lupa. Ang organic mulches ay pinapabuti rin ang istraktura at fertility ng lupa."
40,climate_adaptation,International Rice Research Institute,"Ang mga uri ng palay na kaya ang init ay pinapanatili ang stable na ani kahit lumampas sa 35°C habang nagiging butil. Ang mga uri na ito ay may 10-15% na mas mataas na ani sa init."
41,climate_adaptation,World Coffee Research,"Ang mga uri ng kape na kaya ang pagbabago ng klima ay pinagsasama ang paglaban sa sakit at pagtitiis sa temperatura. Ang mga uri na ito ay pinapanatili ang kalidad sa elevation na 200-300m na mas mababa kaysa sa tradisyonal na Arabica."
42,climate_adaptation,International Center for Tropical Agriculture,"Ang mga uri ng mais na kaya ang tagtuyot ay gumagamit ng 20-30% na mas kaunting tubig habang pinapanatili ang ani sa pamamagitan ng mas magandang ugat at osmotic adjustment."
